period,subba,subba-name,parent,parent-name,value,value-units
2023-06-10T00,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,10401,megawatthours
2023-06-10T00,SCE,Southern California Edison - CISO,CISO,California Independent System Operator,10820,megawatthours
2023-06-10T00,SDGE,San Diego Gas and Electric - CISO,CISO,California Independent System Operator,1513,megawatthours
2023-06-10T00,VEA,Valley Electric Association  - CISO,CISO,California Independent System Operator,79,megawatthours
2023-06-10T00,COAS,ERCO - Coast,ERCO,"Electric Reliability Council of Texas, Inc.",19067,megawatthours
2023-06-10T00,EAST,ERCO - East,ERCO,"Electric Reliability Council of Texas, Inc.",2630,megawatthours
2023-06-10T00,FWES,ERCO - Far West,ERCO,"Electric Reliability Council of Texas, Inc.",5629,megawatthours
2023-06-10T00,NCEN,ERCO - North Central,ERCO,"Electric Reliability Council of Texas, Inc.",21939,megawatthours
2023-06-10T00,NRTH,ERCO - North,ERCO,"Electric Reliability Council of Texas, Inc.",1857,megawatthours
2023-06-10T00,SCEN,ERCO - South Central,ERCO,"Electric Reliability Council of Texas, Inc.",12761,megawatthours
2023-06-10T00,SOUT,ERCO - South,ERCO,"Electric Reliability Council of Texas, Inc.",5952,megawatthours
2023-06-10T00,WEST,ERCO - West,ERCO,"Electric Reliability Council of Texas, Inc.",1998,megawatthours
2023-06-10T00,4001,ISNE - Maine,ISNE,ISO New England,1201,megawatthours
2023-06-10T00,4002,ISNE - New Hampshire,ISNE,ISO New England,1220,megawatthours
2023-06-10T00,4003,ISNE - Vermont,ISNE,ISO New England,553,megawatthours
2023-06-10T00,4004,ISNE - Connecticut,ISNE,ISO New England,2957,megawatthours
2023-06-10T00,4005,ISNE - Rhode Island,ISNE,ISO New England,828,megawatthours
2023-06-10T00,4006,ISNE - Southeast Mass.,ISNE,ISO New England,1517,megawatthours
2023-06-10T00,4007,ISNE - Western/Central Mass.,ISNE,ISO New England,1706,megawatthours
2023-06-10T00,4008,ISNE - Northeast Mass.,ISNE,ISO New England,2438,megawatthours
2023-06-10T00,0001,Zone 1 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",13313,megawatthours
2023-06-10T00,0004,Zone 4 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",5826,megawatthours
2023-06-10T00,0006,Zone 6 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",10780,megawatthours
2023-06-10T00,0027,Zones 2 and 7 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",19583,megawatthours
2023-06-10T00,0035,Zones 3 and 5 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",11379,megawatthours
2023-06-10T00,8910,"Zones 8, 9 and 10 - MISO",MISO,"Midcontinent Independent System Operator, Inc.",26184,megawatthours
2023-06-10T00,ZONA,West - NYIS,NYIS,New York Independent System Operator,1620,megawatthours
2023-06-10T00,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,998,megawatthours
2023-06-10T00,ZONC,Central - NYIS,NYIS,New York Independent System Operator,1549,megawatthours
